Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;2;9-6-7-3-12-2-4-10-13-8-15-11-14-1-5-9;118.58;9-5-12-2-7-15-4-10-13-8-11-1-14-6-3-9;88.83
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;3;13-3-9-10-4-12-7-2-5-11-8-15-6-1-14-13;114.62;13-10-4-12-2-8-5-1-14-7-15-6-3-9-11-13;88.05
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;4;14-13-1-4-3-2-9-5-10-12-8-11-6-7-15-14;122.6;9-3-6-10-15-2-7-12-11-5-13-14-4-1-8-9;92.09
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;1;3-13-11-9-2-6-1-12-4-10-15-7-8-14-5-3;108.44;3-6-9-5-13-11-1-12-4-10-8-14-2-15-7-3;76.53
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;2;4-15-10-12-13-5-6-2-8-9-3-1-14-11-7-4;118.13;6-3-8-9-13-11-5-1-15-2-7-10-4-14-12-6;89.64
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;3;1-4-15-12-7-13-11-8-3-5-10-14-2-6-9-1;106.04;1-13-11-8-5-6-9-3-2-14-10-12-4-15-7-1;86
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-2;4;10-5-1-8-13-9-11-3-12-15-7-14-6-4-2-10;109.73;13-11-3-12-15-7-2-14-1-5-9-6-4-10-8-13;92.08
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;1;15-14-11-5-4-10-8-12-6-3-13-9-1-2-7-15;106.49;5-3-9-6-4-10-14-8-11-1-2-15-12-7-13-5;87.65
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;2;13-10-14-4-15-12-5-9-7-11-8-1-2-3-6-13;112.64;15-14-1-10-8-9-11-13-5-3-6-4-12-7-2-15;88.21
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;3;6-10-15-4-3-9-12-14-7-13-11-1-8-2-5-6;113.88;13-1-8-2-7-15-14-10-11-12-4-3-6-9-5-13;88.26
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-3;4;10-13-2-15-8-4-7-1-6-3-9-11-5-14-12-10;117.55;4-7-14-15-13-11-5-9-12-10-8-1-6-2-3-4;97.88
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-1;1;5-10-8-12-2-9-3-11-14-15-7-4-6-1-13-5;105.87;5-10-8-12-2-9-3-11-14-15-7-4-6-1-13-5;105.87
CR-0 PN-10 G-1 PP-10 SM-1 MAX_STEP10 PC-1;2;1-12-7-2-6-8-11-5-13-9-10-4-15-14-3-1;100.91;1-12-7-2-6-8-11-5-13-9-10-4-15-14-3-1;100.91
